อุดรธานี,รวม,"3,547","3,952","7,798","4,934","3,576","3,129","3,806","4,177",958,116,25
เลย,รวม,"3,181","5,445","5,841","5,113","3,737","2,967","3,144","3,109","2,098","1,867","2,877"
หนองคาย,รวม,193,"1,917","2,591","2,601","1,834","2,087","2,957","3,375","1,927","1,286","1,686"
มหาสารคาม,รวม,"2,254","3,063","3,924","2,811","1,835","1,892","2,253","3,066","2,411","2,478","2,789"
ร้อยเอ็ด,รวม,"2,102","5,058","4,988","7,046","2,859","2,098","2,653","3,492",834,33,105
กาฬสินธุ์,รวม,"2,679","3,481","3,865","2,943","1,982","1,894","2,331","3,185","2,710","2,842","2,711"
สกลนคร,รวม,"2,070","4,266","4,905","4,499","2,693","2,866","2,639","3,170","2,166","2,562","3,351"
นครพนม,รวม,"3,496","5,267","4,896","5,300","1,827","1,572","2,952","2,241",591,100,115
มุกดาหาร,รวม,"2,421","2,472","3,089","2,944","2,683","2,494","2,784","3,157","1,167",804,"1,562"
นครศรีธรรมราช,รวม,"5,422","3,362","8,686","6,435","5,442","2,128",408,"2,935","4,424","9,462","5,606"
กระบี่,รวม,"1,371",766,"2,407","2,734","2,204","2,447","2,982","2,782","1,407",497,172
พังงา,รวม,794,964,"1,309","1,266","1,093","1,524","2,022","2,058",692,"1,335",41
ภูเก็ต,รวม,"2,623","1,582","1,452","3,142","3,144","4,015","4,200","4,998","1,739","1,451",263
สุราษฎร์ธานี,รวม,"6,921","6,845","8,040","8,025","8,784","10,283","10,620","10,702","5,443","8,163","3,635"
ระนอง,รวม,831,"1,166","1,272","1,402","1,171","1,342","1,478","1,842",996,"1,885",768
ชุมพร,รวม,"1,121","2,173","3,958","3,193","5,441","2,545","3,353","3,986","3,065","4,027","3,248"
สงขลา,รวม,"3,312","7,012","3,907","7,662","5,547","6,186","8,117","9,339","11,444","10,659","9,478"
สตูล,รวม,"1,217","1,714","2,671","2,928","2,441","2,372","2,980","3,032","3,848","3,287","2,531"
ตรัง,รวม,"1,891","4,807","5,657","6,215","2,765","2,200","2,764","3,696","4,165","2,837","2,294"
พัทลุง,รวม,"2,390","3,255","3,769","3,494","2,032","1,954","2,598","2,592","2,591","2,619","2,400"
ปัตตานี,รวม,"1,295","1,871","2,153","2,423","2,632","2,802","3,302","3,587","3,538","3,329","3,686"
ยะลา,รวม,"1,998","2,724","3,432","2,368","2,079","2,252","2,693","2,661","1,993","2,001","2,060"
นราธิวาส,รวม,"2,447","3,310","3,859","4,004","3,528","3,402","4,333","6,733","4,793","3,869","3,156"
