years,provinces,case,latitude,longitude
2556,ภูเก็ต,1452,7.888,98.394
2557,ภูเก็ต,3142,7.888,98.394
2558,ภูเก็ต,3144,7.888,98.394
2559,ภูเก็ต,4015,7.888,98.394
2560,ภูเก็ต,4200,7.888,98.394
2561,ภูเก็ต,4998,7.888,98.394
2562,ภูเก็ต,1739,7.888,98.394
2563,ภูเก็ต,1451,7.888,98.394
2564,ภูเก็ต,263,7.888,98.394
2554,สุราษฎร์ธานี,6921,9.137,99.32
2555,สุราษฎร์ธานี,6845,9.137,99.32
2556,สุราษฎร์ธานี,8040,9.137,99.32
2557,สุราษฎร์ธานี,8025,9.137,99.32
2558,สุราษฎร์ธานี,8784,9.137,99.32
2559,สุราษฎร์ธานี,10283,9.137,99.32
2560,สุราษฎร์ธานี,10620,9.137,99.32
2561,สุราษฎร์ธานี,10702,9.137,99.32
2562,สุราษฎร์ธานี,5443,9.137,99.32
2563,สุราษฎร์ธานี,8163,9.137,99.32
2564,สุราษฎร์ธานี,3635,9.137,99.32
2554,ระนอง,831,9.96,98.621
2555,ระนอง,1166,9.96,98.621
2556,ระนอง,1272,9.96,98.621
2557,ระนอง,1402,9.96,98.621
2558,ระนอง,1171,9.96,98.621
2559,ระนอง,1342,9.96,98.621
2560,ระนอง,1478,9.96,98.621
2561,ระนอง,1842,9.96,98.621
2562,ระนอง,996,9.96,98.621
2563,ระนอง,1885,9.96,98.621
2564,ระนอง,768,9.96,98.621
2554,ชุมพร,1121,10.498,99.179
2555,ชุมพร,2173,10.498,99.179
2556,ชุมพร,3958,10.498,99.179
2557,ชุมพร,3193,10.498,99.179
2558,ชุมพร,5441,10.498,99.179
2559,ชุมพร,2545,10.498,99.179
2560,ชุมพร,3353,10.498,99.179
2561,ชุมพร,3986,10.498,99.179
2562,ชุมพร,3065,10.498,99.179
2563,ชุมพร,4027,10.498,99.179
2564,ชุมพร,3248,10.498,99.179
2554,สงขลา,3312,7.198,100.596
2555,สงขลา,7012,7.198,100.596
2556,สงขลา,3907,7.198,100.596
2557,สงขลา,7662,7.198,100.596
2558,สงขลา,5547,7.198,100.596
2559,สงขลา,6186,7.198,100.596
2560,สงขลา,8117,7.198,100.596
2561,สงขลา,9339,7.198,100.596
2562,สงขลา,11444,7.198,100.596
2563,สงขลา,10659,7.198,100.596
2564,สงขลา,9478,7.198,100.596
2554,สตูล,1217,6.615,100.071
2555,สตูล,1714,6.615,100.071
2556,สตูล,2671,6.615,100.071
2557,สตูล,2928,6.615,100.071
2558,สตูล,2441,6.615,100.071
2559,สตูล,2372,6.615,100.071
2560,สตูล,2980,6.615,100.071
2561,สตูล,3032,6.615,100.071
2562,สตูล,3848,6.615,100.071
2563,สตูล,3287,6.615,100.071
2564,สตูล,2531,6.615,100.071
2554,ตรัง,1891,7.559,99.616
2555,ตรัง,4807,7.559,99.616
2556,ตรัง,5657,7.559,99.616
2557,ตรัง,6215,7.559,99.616
2558,ตรัง,2765,7.559,99.616
2559,ตรัง,2200,7.559,99.616
2560,ตรัง,2764,7.559,99.616
2561,ตรัง,3696,7.559,99.616
2562,ตรัง,4165,7.559,99.616
2563,ตรัง,2837,7.559,99.616
2564,ตรัง,2294,7.559,99.616
2554,พัทลุง,2390,7.625,100.085
2555,พัทลุง,3255,7.625,100.085
2556,พัทลุง,3769,7.625,100.085
2557,พัทลุง,3494,7.625,100.085
2558,พัทลุง,2032,7.625,100.085
2559,พัทลุง,1954,7.625,100.085
2560,พัทลุง,2598,7.625,100.085
2561,พัทลุง,2592,7.625,100.085
2562,พัทลุง,2591,7.625,100.085
2563,พัทลุง,2619,7.625,100.085
2564,พัทลุง,2400,7.625,100.085
2554,ปัตตานี,1295,6.876,101.251
2555,ปัตตานี,1871,6.876,101.251
2556,ปัตตานี,2153,6.876,101.251
2557,ปัตตานี,2423,6.876,101.251
2558,ปัตตานี,2632,6.876,101.251
2559,ปัตตานี,2802,6.876,101.251
2560,ปัตตานี,3302,6.876,101.251
2561,ปัตตานี,3587,6.876,101.251
2562,ปัตตานี,3538,6.876,101.251
2563,ปัตตานี,3329,6.876,101.251
2564,ปัตตานี,3686,6.876,101.251
2554,ยะลา,1998,6.547,101.28
2555,ยะลา,2724,6.547,101.28
2556,ยะลา,3432,6.547,101.28
2557,ยะลา,2368,6.547,101.28
2558,ยะลา,2079,6.547,101.28
2559,ยะลา,2252,6.547,101.28
2560,ยะลา,2693,6.547,101.28
2561,ยะลา,2661,6.547,101.28
2562,ยะลา,1993,6.547,101.28
2563,ยะลา,2001,6.547,101.28
2564,ยะลา,2060,6.547,101.28
2554,นราธิวาส,2447,6.424,101.82
2555,นราธิวาส,3310,6.424,101.82
2556,นราธิวาส,3859,6.424,101.82
2557,นราธิวาส,4004,6.424,101.82
2558,นราธิวาส,3528,6.424,101.82
2559,นราธิวาส,3402,6.424,101.82
2560,นราธิวาส,4333,6.424,101.82
2561,นราธิวาส,6733,6.424,101.82
2562,นราธิวาส,4793,6.424,101.82
2563,นราธิวาส,3869,6.424,101.82
2564,นราธิวาส,3156,6.424,101.82
